Titel, Autor, Veröffentlichungsjahr, Genre
"Die Verwandlung", Franz Kafka, 1915, Roman
"1984", George Orwell, 1949, Dystopie
"To Kill a Mockingbird", Harper Lee, 1960, Roman
"The Catcher in the Rye", J.D. Salinger, 1951, Coming-of-Age
"Percy Jackson", Rick Riordan, 2005, Fantasy
"Diary of a Wimpy Kid", Jeff Kinney, 2007, Comedy
"Maze Runner", James Dashner, 2009, Fantasy
